alpha,iters,num_factors,reg,loss,iteration
15,89,10,67,0.030157741057995013,22
15,402,10,67,0.030157974516454918,21
15,254,10,67,0.03015798075080248,23
15,152,25,67,0.03016241319915808,1
15,394,10,66,0.03017464079700335,25
25,62,30,85,0.03082698301379715,6
10,230,20,89,0.031331154017469706,5
15,136,10,32,0.031543765545881286,24
20,145,30,56,0.0315642719833493,17
5,319,5,54,0.03271982737940899,10
35,102,20,90,0.03362469087936549,8
25,153,15,44,0.03418504477946094,3
40,206,5,76,0.03618537105163541,13
40,55,10,78,0.036622934290447114,14
25,138,15,24,0.03673113014016563,7
40,168,30,73,0.03714505283911132,16
30,422,30,43,0.03724952134889467,11
25,123,30,27,0.03768035832073225,19
45,439,20,86,0.0380166705958788,20
45,127,25,85,0.038038001369872815,4
40,224,15,57,0.03942043643937753,15
35,218,25,42,0.03969324691772712,9
30,182,25,26,0.04020241171471908,18
50,139,15,83,0.040729082185715935,12
45,435,25,38,0.04536415351253046,2
