factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,PROD_CODE
0.16854754,0.013358826,0.24266285,0.31933418,0.010472583,0.32503474,0.31635496,0.09371348,0.15740903,0.30092502,PRD0900121
0.03484775,0.057924222,-4.3094515e-05,0.11054318,0.06544772,0.024039213,0.026003229,0.07481136,0.060371898,0.06771701,PRD0900161
-0.017153075,0.012122304,0.066920646,-3.7809106e-05,0.018098343,0.009732253,0.04880237,0.02260148,0.034946553,0.0400148,PRD0900234
-0.007956099,0.044254594,0.0027817718,-0.014802849,0.014389252,0.008213523,0.019771509,0.025647992,0.025385864,0.006551751,PRD0900330
0.23553835,0.030606357,-0.020513246,0.05250085,-0.010799937,0.21138836,0.012995145,0.023282347,0.03568456,0.06358877,PRD0900434
0.013921601,0.040320642,0.058786575,0.052264143,-0.06668009,0.13098246,0.06493037,0.052474935,0.16442461,0.07286139,PRD0900456
0.08190815,0.020048542,0.01559367,0.0011610092,0.03322837,0.1776725,-0.04394171,-0.003116464,-0.0476874,0.0126325125,PRD0900527
0.15232643,0.18717165,0.15609594,0.07258188,0.37831727,0.055052776,0.3076867,0.27360475,0.15475245,0.16391554,PRD0900643
0.015755191,0.0053479546,0.0015987552,0.010139729,-0.0024528455,0.029620694,-0.0010984136,0.028266236,0.011407937,0.033543702,PRD0900906
0.019969089,0.019073552,0.026472783,-0.0019396654,0.0074926713,0.027335161,0.010078853,0.010511984,0.0021074198,0.023570623,PRD0901297
0.0017970196,0.012374475,0.045654982,-0.0017254847,0.038568005,-0.014364773,0.05936485,0.013504657,-0.012852775,0.018361242,PRD0901307
0.013729074,0.035945654,0.027907154,-0.03888587,0.039929416,-0.00035162075,0.037560012,0.030624986,0.02211851,-0.0050913235,PRD0901499
0.016828338,0.044233672,0.10042749,-0.028041234,-0.0030638573,0.07441628,0.079119064,-0.013422173,0.0957548,0.048598174,PRD0901559
0.12434256,0.07934716,0.019393148,0.09172969,-0.004538114,0.09238144,0.00020299804,0.04728134,-0.029670779,0.009933167,PRD0901649
-0.0059823915,0.043365832,0.19240439,-0.039109085,0.018955614,0.064140014,0.09398309,0.032272123,0.04100879,0.07443735,PRD0901756
0.0300995,0.061773166,0.08771178,0.028566018,0.04968604,0.042520937,0.057028342,0.0058418564,0.029699856,0.07617589,PRD0901866
-0.0102558825,0.05606464,0.14633659,0.00624309,0.02363146,-0.0058261217,0.13337176,-0.021149645,0.07639732,0.09191692,PRD0901922
