factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,CUST_CODE
0.010781868,0.009032971,0.003996131,0.0036940703,0.00015970891,0.0066953525,0.0012384827,0.012827283,0.011339616,0.00660526,CUST0000000013
0.13904282,0.056194108,-0.05388181,0.07323837,0.013673239,0.15221192,-0.029640036,-0.011533997,0.039994966,0.040453576,CUST0000000055
-0.002629014,0.0053227707,0.017131492,0.00084431877,-0.00021395533,0.008500969,0.005608513,0.005526998,-0.0021421534,0.008460202,CUST0000000679
-0.00088681234,0.0022118024,0.007104904,-0.0008593328,-0.0030270172,0.005705435,0.0028378526,0.001451374,0.005535973,0.0049980273,CUST0000001052
0.007321073,0.0014294437,-0.0021203975,0.011208245,0.005212986,0.0060149925,0.0027526151,0.0023773932,0.0028524508,0.0065130694,CUST0000001058
0.10867819,0.03337197,-0.007141021,0.092687435,0.011599198,0.032955293,0.02306142,0.089388005,0.043451298,-0.0130085135,CUST0000001098
0.0015055782,0.0065429774,0.0013453505,0.0042521865,0.0037632831,0.0019581735,0.0071843667,0.0074722446,0.001372688,0.0022218707,CUST0000001148
0.08631195,0.050009992,0.15449159,0.059344497,-0.029469151,0.17863941,0.11435332,0.0771058,0.20093927,0.11914653,CUST0000001392
0.04698175,0.021917546,0.07116399,0.048012257,0.068708785,0.0021163716,0.040702622,0.03498506,-0.015283551,-0.009634886,CUST0000001400
0.009675644,0.020908311,0.06514375,0.025770133,0.0067402404,0.030392652,0.052761286,0.032032873,0.0405911,0.041717242,CUST0000001437
0.0010688463,0.0005870573,0.005824829,0.0034068972,0.0029802057,0.0005511669,0.006359587,0.0021539598,0.004200747,0.0021119106,CUST0000001480
0.0005916506,0.014436396,0.023532702,0.0038286324,0.009620876,0.0022468744,0.017220896,0.0067890175,-0.0059630605,-0.0060829925,CUST0000001962
-0.00046641732,0.021706913,0.04524901,0.014166013,0.010602883,0.022365425,0.011379996,0.02765546,0.0053137382,0.032340705,CUST0000002218
-0.00031404622,0.0013701458,0.0012024805,-0.000201545,-0.00012150169,0.00072763546,0.0011600401,0.0014722123,0.0014564461,0.0020284604,CUST0000002245
0.002724025,0.010500708,-0.0035389576,0.0013304709,-0.0012844504,0.006418894,0.007866304,0.014661765,0.010477927,0.00467561,CUST0000002678
-0.01928503,0.064483024,0.10146119,-0.005952639,0.006086416,0.06574759,0.07407769,0.028884355,0.11051434,0.026367245,CUST0000003190
0.14430523,4.5190765e-05,0.26404276,0.108684905,0.28624308,0.053826056,0.28477788,0.056575112,0.05814739,0.23237503,CUST0000003347
0.20031467,0.15646927,0.04703751,0.23926541,0.07782578,0.1625546,0.11005794,0.050711766,0.12363678,0.19483648,CUST0000003447
0.00030754664,0.0009809168,0.003940404,-0.0011888894,-0.00063024653,0.0019521303,0.002961617,0.00082083297,0.0019079307,0.0024986654,CUST0000003603
0.32206765,0.047460787,0.022503857,0.26104507,0.3226926,0.29475737,0.11915036,0.02723824,0.3665438,0.27445012,CUST0000004239
-0.017233143,0.034966562,0.053835656,-0.019240951,0.03085623,0.037508164,0.06695319,0.040163144,0.031911556,0.038514618,CUST0000004287
0.08259971,0.09864559,0.0038113657,0.06545651,0.008833731,0.06899525,0.05273633,0.13632812,0.048597414,0.07244672,CUST0000004457
